ticket_id,ticket_type,created_at,updated_at,first_response_at,in_progress_at,resolved_at,closed_at,priority,impact,urgency,category_id,subcategory_id,assigned_team_id,assigned_agent_id,customer_id,business_unit,region,channel,status,sla_target_hours,first_response_minutes,resolution_minutes,reopened_count,escalation_count,satisfaction_score,short_description,source_system,generated_batch_id
ticket-000001,incident,2024-01-21T14:57:00Z,2024-01-23T08:14:00Z,2024-01-23T04:15:00Z,2024-01-23T05:14:00Z,,,P4,low,low,cat-access,sub-vpn,team-network,agent-004,customer-ops,Operations,DE,email,in_progress,72,2238,,0,0,,VPN access reported by Operations,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000002,incident,2024-03-30T08:55:00Z,2024-03-31T13:24:00Z,2024-03-30T09:06:00Z,2024-03-30T14:15:00Z,2024-03-30T19:24:00Z,2024-03-31T13:24:00Z,P3,medium,medium,cat-access,sub-password,team-identity,agent-010,customer-rnd,R&D,EU,portal,closed,24,11,629,0,0,5,Password reset reported by Research and Development,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000003,incident,2024-03-30T05:59:00Z,2024-04-01T06:13:00Z,2024-03-30T12:31:00Z,2024-03-30T13:13:00Z,,,P3,medium,medium,cat-network,sub-lan,team-app,agent-003,customer-rnd,R&D,EU,email,in_progress,24,392,,0,0,,LAN connectivity reported by Research and Development,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000004,service_request,2024-02-10T10:29:00Z,2024-02-13T08:07:00Z,2024-02-11T11:28:00Z,2024-02-12T09:47:00Z,2024-02-13T08:07:00Z,,P4,high,low,cat-access,sub-password,team-workplace,agent-007,customer-ops,Operations,DE,email,resolved,72,1499,4178,0,0,5,Password reset reported by Operations,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000005,incident,2024-01-26T14:14:00Z,2024-01-28T04:56:00Z,2024-01-27T02:00:00Z,2024-01-27T13:58:00Z,2024-01-28T01:56:00Z,2024-01-28T04:56:00Z,P3,low,medium,cat-hardware,sub-laptop,team-identity,agent-011,customer-sales,Sales,EU,phone,closed,24,706,2142,0,0,4,Laptop issue reported by Sales,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000006,service_request,2024-02-29T08:35:00Z,2024-03-02T04:23:00Z,2024-02-29T17:51:00Z,2024-03-01T11:07:00Z,2024-03-02T04:23:00Z,,P3,low,medium,cat-application,sub-collaboration,team-identity,agent-010,customer-sales,Sales,EU,chat,resolved,24,556,2628,0,0,3,Collaboration tools reported by Sales,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000007,incident,2024-02-15T10:04:00Z,2024-02-17T04:59:00Z,2024-02-15T13:26:00Z,2024-02-15T15:12:00Z,2024-02-15T16:59:00Z,2024-02-17T04:59:00Z,P2,high,high,cat-access,sub-password,team-network,agent-006,customer-ops,Operations,DE,phone,closed,8,202,415,0,1,5,Password reset reported by Operations,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000008,service_request,2024-01-24T00:46:00Z,2024-02-02T13:06:00Z,2024-01-24T18:49:00Z,2024-01-29T00:27:00Z,2024-02-02T06:06:00Z,2024-02-02T13:06:00Z,P4,high,low,cat-network,sub-wifi,team-workplace,agent-008,customer-ops,Operations,DE,email,closed,72,1083,13280,0,0,3,Wi-Fi connectivity reported by Operations,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000009,service_request,2024-03-18T20:56:00Z,2024-03-19T15:24:00Z,2024-03-19T10:47:00Z,2024-03-19T13:05:00Z,2024-03-19T15:24:00Z,,P3,low,medium,cat-hardware,sub-laptop,team-workplace,agent-008,customer-fin,Finance,DE,email,resolved,24,831,1108,0,0,5,Laptop issue reported by Finance,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000010,incident,2024-01-07T20:48:00Z,2024-01-08T04:37:00Z,2024-01-07T22:35:00Z,2024-01-08T01:36:00Z,2024-01-08T04:37:00Z,,P2,low,high,cat-application,sub-erp,team-workplace,agent-009,customer-rnd,R&D,EU,portal,resolved,8,107,469,0,0,5,ERP support reported by Research and Development,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000011,service_request,2024-01-16T02:02:00Z,2024-01-17T02:20:00Z,2024-01-16T07:45:00Z,2024-01-16T08:20:00Z,,,P3,low,medium,cat-hardware,sub-laptop,team-app,agent-001,customer-fin,Finance,DE,email,in_progress,24,343,,0,0,,Laptop issue reported by Finance,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000012,incident,2024-01-06T04:27:00Z,2024-01-13T06:21:00Z,2024-01-07T04:43:00Z,2024-01-10T05:32:00Z,2024-01-13T06:21:00Z,,P4,medium,low,cat-application,sub-erp,team-identity,agent-011,customer-ops,Operations,DE,phone,resolved,72,1456,10194,0,0,4,ERP support reported by Operations,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000013,service_request,2024-01-18T10:17:00Z,2024-01-26T10:44:00Z,2024-01-19T17:56:00Z,2024-01-22T08:20:00Z,2024-01-24T22:44:00Z,2024-01-26T10:44:00Z,P4,low,low,cat-access,sub-password,team-network,agent-004,customer-rnd,R&D,EU,portal,closed,72,1899,9387,1,0,3,Password reset reported by Research and Development,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000014,service_request,2024-02-04T18:57:00Z,2024-02-08T14:26:00Z,2024-02-04T23:02:00Z,2024-02-06T03:44:00Z,2024-02-07T08:26:00Z,2024-02-08T14:26:00Z,P4,high,low,cat-hardware,sub-laptop,team-identity,agent-011,customer-rnd,R&D,EU,chat,closed,72,245,3689,0,0,5,Laptop issue reported by Research and Development,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
